"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A",Target
"192.168.0.101",53357,"142.250.199.138",443,19,9007,8,3883,11,5124,39.098523,0.588039000000002,52826.42817908318,69709.66211424729,1
"192.168.0.101",60103,"142.250.183.36",443,10,6303,5,2853,5,3450,40.141737,0.1620360000000005,140857.58720284337,170332.5186995477,1
"192.168.0.101",65134,"142.250.183.36",443,10,6304,5,2854,5,3450,40.144914,0.1597629999999981,142911.6879377595,172755.89466898047,1
"192.168.0.101",50395,"142.250.183.36",443,44,27467,19,4690,25,22777,41.335151,24.549584000000003,1528.3354699615275,7422.366097934693,1
"192.168.0.101",62247,"142.250.76.170",443,25,7255,12,2937,13,4318,45.028547,21.805982999999998,1077.5024450858282,1584.152386067622,1
"192.168.0.101",54032,"142.250.192.14",443,18,8717,9,4067,9,4650,45.347446,0.5316510000000036,61198.04157238447,69970.71387056498,1
"192.168.0.101",55539,"142.250.183.110",443,22,10734,10,5108,12,5626,45.876237,30.911363999999992,1321.9733687584933,1456.0340980100398,1
"192.168.0.101",63728,"142.250.199.131",443,17,6120,8,2217,9,3903,50.616639,0.3612180000000009,49100.54316230075,86440.87503944965,1
"192.168.0.101",52436,"142.250.199.131",443,30,7921,14,2988,16,4933,59.445761,28.290275,844.9546708188591,1394.9669983766505,1
"192.168.0.101",52168,"172.217.174.66",443,58,13231,28,6508,30,6723,61.369583,21.246523000000003,2450.4715430378888,2531.4259655568108,1
"192.168.0.101",60309,"142.250.192.97",443,170,115663,65,8642,105,107021,64.824639,17.71785,3902.0535787355693,48322.34159336489,1
"192.168.0.101",49400,"172.217.166.35",443,21,10855,10,3973,11,6882,65.426327,0.2542720000000003,124999.99999999987,216524.03725144704,1
"192.168.0.101",63446,"172.217.167.174",443,26,14751,13,8525,13,6226,69.104448,0.4224309999999889,161446.48475136008,117908.01337970298,1
"192.168.0.101",62752,"202.65.141.13",443,40427,47010939,4228,354061,36199,46656878,69.68613,19.922457999999992,142175.6291317066,18735390.181271818,1
"192.168.0.101",49734,"142.250.199.131",443,23,15968,10,3744,13,12224,73.755155,0.155982999999992,192020.92535726033,626940.1152690038,1
"192.168.0.101",64189,"142.250.192.14",443,18,10051,9,5206,9,4845,76.190557,0.5262929999999955,79134.6265293294,73647.188923281,1
